id,title,start,avg_rating,rating_count,low,med,high,want,have,last_sold,for_sale,url
609386,"b""What's Your Number?""",0.8, ,17,0.87,1.75,3.59,68,184,"Dec 11, 2021",37,https://www.discogs.com/release/609386
88026,b'Cyclone',1.19, ,25,0.88,2.1,8.5,81,227,"Nov 8, 2021",32,https://www.discogs.com/release/88026
8347,b'A Taste Of',1.79, ,27,1.0,2.25,4.9,29,113,"Aug 19, 2021",24,https://www.discogs.com/release/8347
102867,b'Thunk EP',1.0, ,7,0.99,1.3,2.39,42,73,"Sep 27, 2020",30,https://www.discogs.com/release/102867
60027,b'EP1',1.2, ,47,1.55,2.69,7.2,83,371,"Nov 12, 2021",31,https://www.discogs.com/release/60027
45346,b'Days Go By',1.29, ,104,2.1,4.95,8.76,253,841,"Dec 7, 2021",69,https://www.discogs.com/release/45346
64981,b'Ghosts',1.19, ,26,0.84,1.59,5.0,43,238,"Nov 11, 2021",41,https://www.discogs.com/release/64981
92074,b'The Real Life',2.0, ,59,2.5,4.25,5.0,110,385,"Dec 8, 2021",37,https://www.discogs.com/release/92074
3554,b'Quadrastate',4.74, ,405,8.4,10.81,21.62,1388,2969,"Jan 6, 2022",41,https://www.discogs.com/release/3554
1251893,"b""Ain't No Stopping - Disco Mix '81""",0.88, ,20,0.5,1.99,4.99,15,164,"Oct 30, 2021",35,https://www.discogs.com/release/1251893
687085,b'Sweet Dreams / I Like The Way',2.8, ,18,4.74,6.5,9.99,100,161,"Jan 9, 2021",6,https://www.discogs.com/release/687085
995275,b'Renegade / Daft Skunk',7.7, ,18,6.0,8.31,11.99,87,146,"Sep 12, 2021",5,https://www.discogs.com/release/995275
145504,b'Santa Maria',1.19, ,7,1.8,2.95,4.9,17,44,"Apr 19, 2021",10,https://www.discogs.com/release/145504
243575,b'Outta Space (Remixes)',8.42, ,253,5.26,12.6,35.07,671,1467,"Jan 13, 2022",21,https://www.discogs.com/release/243575
